poster_path,title,tagline,release_date,original_language,vote_average,runtime,budget,revenue,return
<img src='http://image.tmdb.org/t/p/w185//kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg' style='height:100px;'>,Avatar,Enter the World of Pandora.,2009-12-10,en,7.2,162.0,237000000.0,2787965087.0,11.763565767932489
<img src='http://image.tmdb.org/t/p/w185//weUSwMdQIa3NaXVzwUoIIcAi85d.jpg' style='height:100px;'>,Star Wars: The Force Awakens,Every generation has a story.,2015-12-15,en,7.5,136.0,245000000.0,2068223624.0,8.44172907755102
<img src='http://image.tmdb.org/t/p/w185//kHXEpyfl6zqn8a6YuozZUujufXf.jpg' style='height:100px;'>,Titanic,Nothing on Earth could come between them.,1997-11-18,en,7.5,194.0,200000000.0,1845034188.0,9.22517094
<img src='http://image.tmdb.org/t/p/w185//cezWGskPY5x7GaglTTRN4Fugfb8.jpg' style='height:100px;'>,The Avengers,Some assembly required.,2012-04-25,en,7.4,143.0,220000000.0,1519557910.0,6.907081409090909
<img src='http://image.tmdb.org/t/p/w185//jjBgi2r5cRt36xF6iNUEhzscEcb.jpg' style='height:100px;'>,Jurassic World,The park is open.,2015-06-09,en,6.5,124.0,150000000.0,1513528810.0,10.090192066666667
<img src='http://image.tmdb.org/t/p/w185//dCgm7efXDmiABSdWDHBDBx2jwmn.jpg' style='height:100px;'>,Furious 7,Vengeance Hits Home,2015-04-01,en,7.3,137.0,190000000.0,1506249360.0,7.927628210526316
<img src='http://image.tmdb.org/t/p/w185//t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg' style='height:100px;'>,Avengers: Age of Ultron,A New Age Has Come.,2015-04-22,en,7.3,141.0,280000000.0,1405403694.0,5.019298907142857
<img src='http://image.tmdb.org/t/p/w185//fTplI1NCSuEDP4ITLcTps739fcC.jpg' style='height:100px;'>,Harry Potter and the Deathly Hallows: Part 2,It all ends here.,2011-07-07,en,7.9,130.0,125000000.0,1342000000.0,10.736
<img src='http://image.tmdb.org/t/p/w185//jIjdFXKUNtdf1bwqMrhearpyjMj.jpg' style='height:100px;'>,Frozen,Only the act of true love will thaw a frozen heart.,2013-11-27,en,7.3,102.0,150000000.0,1274219009.0,8.494793393333333
<img src='http://image.tmdb.org/t/p/w185//tWqifoYuwLETmmasnGHO7xBjEtt.jpg' style='height:100px;'>,Beauty and the Beast,Be our guest.,2017-03-16,en,6.8,129.0,160000000.0,1262886337.0,7.89303960625
<img src='http://image.tmdb.org/t/p/w185//g52r6ZXqRPfRagwsOaorOGWxOk3.jpg' style='height:100px;'>,The Fate of the Furious,Family no more,2017-04-12,en,6.8,136.0,250000000.0,1238764765.0,4.95505906
<img src='http://image.tmdb.org/t/p/w185//1Ilv6ryHUv6rt9zIsbSEJUmmbEi.jpg' style='height:100px;'>,Iron Man 3,Unleash the power behind the armor.,2013-04-18,en,6.8,130.0,200000000.0,1215439994.0,6.07719997
<img src='http://image.tmdb.org/t/p/w185//q0R4crx2SehcEEQEkYObktdeFy.jpg' style='height:100px;'>,Minions,"Before Gru, they had a history of bad bosses",2015-06-17,en,6.4,91.0,74000000.0,1156730962.0,15.631499486486486
<img src='http://image.tmdb.org/t/p/w185//kSBXou5Ac7vEqKd97wotJumyJvU.jpg' style='height:100px;'>,Captain America: Civil War,Divided We Fall,2016-04-27,en,7.1,147.0,250000000.0,1153304495.0,4.61321798
<img src='http://image.tmdb.org/t/p/w185//sZY3ls18QTY0pFBJn2vl2MmauTQ.jpg' style='height:100px;'>,Transformers: Dark of the Moon,The invasion we always feared. An enemy we never expected.,2011-06-28,en,6.1,154.0,195000000.0,1123746996.0,5.762805107692308
<img src='http://image.tmdb.org/t/p/w185//uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg' style='height:100px;'>,The Lord of the Rings: The Return of the King,The eye of the enemy is moving.,2003-12-01,en,8.1,201.0,94000000.0,1118888979.0,11.903074244680852
<img src='http://image.tmdb.org/t/p/w185//9qUcmHiPpfTJTacyZyxfGTnSz0V.jpg' style='height:100px;'>,Skyfall,Think on your sins.,2012-10-25,en,6.9,143.0,200000000.0,1108561013.0,5.542805065
<img src='http://image.tmdb.org/t/p/w185//ykIZB9dYBIKV13k5igGFncT5th6.jpg' style='height:100px;'>,Transformers: Age of Extinction,This is not war. It's extinction.,2014-06-25,en,5.8,165.0,210000000.0,1091405097.0,5.1971671285714285
<img src='http://image.tmdb.org/t/p/w185//dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg' style='height:100px;'>,The Dark Knight Rises,The Legend Ends,2012-07-16,en,7.6,165.0,250000000.0,1084939099.0,4.339756396
<img src='http://image.tmdb.org/t/p/w185//mMltbSxwEdNE4Cv8QYLpzkHWTDo.jpg' style='height:100px;'>,Toy Story 3,No toy gets left behind.,2010-06-16,en,7.6,103.0,200000000.0,1066969703.0,5.334848515
<img src='http://image.tmdb.org/t/p/w185//waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg' style='height:100px;'>,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,2006-06-20,en,7.0,151.0,200000000.0,1065659812.0,5.32829906
<img src='http://image.tmdb.org/t/p/w185//qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg' style='height:100px;'>,Rogue One: A Star Wars Story,A Rebellion Built on Hope,2016-12-14,en,7.4,133.0,200000000.0,1056057273.0,5.280286365
<img src='http://image.tmdb.org/t/p/w185//wNUDAq5OUMOtxMlz64YaCp7gZma.jpg' style='height:100px;'>,Pirates of the Caribbean: On Stranger Tides,Live Forever Or Die Trying.,2011-05-14,en,6.4,136.0,380000000.0,1045713802.0,2.7518784263157894
<img src='http://image.tmdb.org/t/p/w185//z09QAf8WbZncbitewNk6lKYMZsh.jpg' style='height:100px;'>,Finding Dory,An unforgettable journey she probably won't remember.,2016-06-16,en,6.8,97.0,200000000.0,1028570889.0,5.142854445
<img src='http://image.tmdb.org/t/p/w185//pvEE5EN5N1yjmHmldfL4aJWm56l.jpg' style='height:100px;'>,Alice in Wonderland,You're invited to a very important date.,2010-03-03,en,6.4,108.0,200000000.0,1025491110.0,5.12745555
<img src='http://image.tmdb.org/t/p/w185//sM33SANp9z6rXW8Itn7NnG1GOEs.jpg' style='height:100px;'>,Zootopia,Welcome to the urban jungle.,2016-02-11,en,7.7,108.0,150000000.0,1023784195.0,6.825227966666667
<img src='http://image.tmdb.org/t/p/w185//ysX7vDmSh5O19vFjAi56WL7l4nk.jpg' style='height:100px;'>,The Hobbit: An Unexpected Journey,From the smallest beginnings come the greatest legends.,2012-11-26,en,7.0,169.0,250000000.0,1021103568.0,4.084414272
<img src='http://image.tmdb.org/t/p/w185//5qcUGqWoWhEsoQwNUrtf3y3fcWn.jpg' style='height:100px;'>,Despicable Me 3,Oh brother.,2017-06-15,en,6.2,96.0,80000000.0,1020063384.0,12.7507923
<img src='http://image.tmdb.org/t/p/w185//1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg' style='height:100px;'>,The Dark Knight,Why So Serious?,2008-07-16,en,8.3,152.0,185000000.0,1004558444.0,5.430045643243243
<img src='http://image.tmdb.org/t/p/w185//dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg' style='height:100px;'>,Harry Potter and the Philosopher's Stone,Let the Magic Begin.,2001-11-16,en,7.5,152.0,125000000.0,976475550.0,7.8118044
<img src='http://image.tmdb.org/t/p/w185//kQrYyZQHkwkUg2KlUDyvymj9FAp.jpg' style='height:100px;'>,Despicable Me 2,Back 2 Work,2013-06-25,en,7.0,98.0,76000000.0,970761885.0,12.773182697368421
<img src='http://image.tmdb.org/t/p/w185//vOipe2myi26UDwP978hsYOrnUWC.jpg' style='height:100px;'>,The Jungle Book,,2016-04-07,en,6.7,106.0,175000000.0,966550600.0,5.523146285714286
<img src='http://image.tmdb.org/t/p/w185//bXb00CkHqx7TPchTGG131sWV59y.jpg' style='height:100px;'>,Pirates of the Caribbean: At World's End,"At the end of the world, the adventure begins.",2007-05-19,en,6.9,169.0,300000000.0,961000000.0,3.203333333333333
<img src='http://image.tmdb.org/t/p/w185//gQCiuxGsfiXH1su6lp9n0nd0UeH.jpg' style='height:100px;'>,The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.,2013-12-11,en,7.6,161.0,250000000.0,958400000.0,3.8336
<img src='http://image.tmdb.org/t/p/w185//9zRzFJuaj0CHIOhAkcCcFTvyu2X.jpg' style='height:100px;'>,The Hobbit: The Battle of the Five Armies,Witness the defining chapter of the Middle-Earth saga,2014-12-10,en,7.1,144.0,250000000.0,956019788.0,3.824079152
<img src='http://image.tmdb.org/t/p/w185//maP4MTfPCeVD2FZbKTLUgriOW4R.jpg' style='height:100px;'>,Harry Potter and the Deathly Hallows: Part 1,One Way… One Fate… One Hero.,2010-10-17,en,7.5,146.0,250000000.0,954305868.0,3.817223472
<img src='http://image.tmdb.org/t/p/w185//syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg' style='height:100px;'>,Finding Nemo,There are 3.7 trillion fish in the ocean. They're looking for one.,2003-05-30,en,7.6,100.0,94000000.0,940335536.0,10.003569531914893
<img src='http://image.tmdb.org/t/p/w185//4YnLxYLHhT4UQ8i9jxAXWy46Xuw.jpg' style='height:100px;'>,Harry Potter and the Order of the Phoenix,Evil Must Be Confronted.,2007-06-28,en,7.4,138.0,150000000.0,938212738.0,6.254751586666667
<img src='http://image.tmdb.org/t/p/w185//bFXys2nhALwDvpkF3dP3Vvdfn8b.jpg' style='height:100px;'>,Harry Potter and the Half-Blood Prince,Dark Secrets Revealed,2009-07-07,en,7.4,153.0,250000000.0,933959197.0,3.735836788
<img src='http://image.tmdb.org/t/p/w185//wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg' style='height:100px;'>,The Lord of the Rings: The Two Towers,A New Power Is Rising.,2002-12-18,en,8.0,179.0,79000000.0,926287400.0,11.725156962025316
<img src='http://image.tmdb.org/t/p/w185//n8V09dDc02KsSN6Q4hC2BX6hN8X.jpg' style='height:100px;'>,Star Wars: Episode I - The Phantom Menace,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,1999-05-19,en,6.4,136.0,115000000.0,924317558.0,8.037543982608696
<img src='http://image.tmdb.org/t/p/w185//c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg' style='height:100px;'>,Jurassic Park,An adventure 65 million years in the making.,1993-06-11,en,7.6,127.0,63000000.0,920100000.0,14.604761904761904
<img src='http://image.tmdb.org/t/p/w185//akWDA0BMVYK4OTM92T5i91DYnsT.jpg' style='height:100px;'>,Shrek 2,Once upon another time...,2004-05-19,en,6.7,93.0,150000000.0,919838758.0,6.132258386666667
<img src='http://image.tmdb.org/t/p/w185//6sASqcdrEHXxUhA3nFpjrRecPD2.jpg' style='height:100px;'>,Harry Potter and the Goblet of Fire,Dark And Difficult Times Lie Ahead.,2005-11-05,en,7.5,157.0,150000000.0,895921036.0,5.9728069066666665
<img src='http://image.tmdb.org/t/p/w185//sqZKCRYGovZ8aN99VVJSdL8Ja9k.jpg' style='height:100px;'>,Spider-Man 3,The battle within.,2007-05-01,en,5.9,139.0,258000000.0,890871626.0,3.4529907984496124
<img src='http://image.tmdb.org/t/p/w185//crAf8b9gFpcdvY7majL8xWzTbem.jpg' style='height:100px;'>,Ice Age: Dawn of the Dinosaurs,You Won't Believe Your Ice!,2009-06-29,en,6.5,94.0,90000000.0,886686817.0,9.852075744444445
<img src='http://image.tmdb.org/t/p/w185//hE24GYddaxB9MVZl1CaiI86M3kp.jpg' style='height:100px;'>,Spectre,A Plan No One Escapes,2015-10-26,en,6.3,148.0,245000000.0,880674609.0,3.5945902408163266
<img src='http://image.tmdb.org/t/p/w185//u30xsZd3mijrdBKA6CeDsozx48g.jpg' style='height:100px;'>,Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift.",2012-06-26,en,6.2,88.0,95000000.0,877244782.0,9.2341556
<img src='http://image.tmdb.org/t/p/w185//sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg' style='height:100px;'>,Harry Potter and the Chamber of Secrets,Hogwarts is back in session.,2002-11-13,en,7.4,161.0,100000000.0,876688482.0,8.76688482
<img src='http://image.tmdb.org/t/p/w185//WLQN5aiQG8wc9SeKwixW7pAR8K.jpg' style='height:100px;'>,The Secret Life of Pets,Think this is what they do all day?,2016-06-18,en,5.9,87.0,75000000.0,875457937.0,11.672772493333333
<img src='http://image.tmdb.org/t/p/w185//cGOPbv9wA5gEejkUN892JrveARt.jpg' style='height:100px;'>,Batman v Superman: Dawn of Justice,Justice or revenge,2016-03-23,en,5.7,151.0,250000000.0,873260194.0,3.493040776
<img src='http://image.tmdb.org/t/p/w185//bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg' style='height:100px;'>,The Lord of the Rings: The Fellowship of the Ring,One ring to rule them all,2001-12-18,en,8.0,178.0,93000000.0,871368364.0,9.369552301075268
<img src='http://image.tmdb.org/t/p/w185//y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg' style='height:100px;'>,Guardians of the Galaxy Vol. 2,Obviously.,2017-04-19,en,7.6,137.0,200000000.0,863416141.0,4.317080705
<img src='http://image.tmdb.org/t/p/w185//aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg' style='height:100px;'>,Inside Out,Meet the little voices inside your head.,2015-06-09,en,7.9,94.0,175000000.0,857611174.0,4.90063528
<img src='http://image.tmdb.org/t/p/w185//tgr5Pdy7ehZYBqBkN2K7Q02xgOb.jpg' style='height:100px;'>,Star Wars: Episode III - Revenge of the Sith,The saga is complete.,2005-05-17,en,7.1,140.0,113000000.0,850000000.0,7.522123893805309
<img src='http://image.tmdb.org/t/p/w185//Hn0KgefVEp0GkdTexS6gfKTMfi.jpg' style='height:100px;'>,The Hunger Games: Catching Fire,Every revolution begins with a spark.,2013-11-15,en,7.4,146.0,130000000.0,847423452.0,6.518641938461538
<img src='http://image.tmdb.org/t/p/w185//kVISXAXDYhjQCfu50QZeCCzzbPv.jpg' style='height:100px;'>,Transformers: Revenge of the Fallen,Revenge is coming.,2009-06-19,en,6.0,150.0,150000000.0,836297228.0,5.575314853333333
<img src='http://image.tmdb.org/t/p/w185//kJQPygYB8aNEevZZHRifyYrAdU9.jpg' style='height:100px;'>,The Twilight Saga: Breaking Dawn - Part 2,The epic finale that will live forever,2012-11-13,en,6.1,115.0,120000000.0,829000000.0,6.908333333333333
<img src='http://image.tmdb.org/t/p/w185//qmDpIHrmpJINaRKAfWQfftjCdyi.jpg' style='height:100px;'>,Inception,Your mind is the scene of the crime.,2010-07-14,en,8.1,148.0,160000000.0,825532764.0,5.159579775
<img src='http://image.tmdb.org/t/p/w185//rZd0y1X1Gw4t5B3f01Qzj8DYY66.jpg' style='height:100px;'>,Spider-Man,With great power comes great responsibility.,2002-05-01,en,6.8,121.0,139000000.0,821708551.0,5.911572309352518
<img src='http://image.tmdb.org/t/p/w185//imekS7f1OuHyUP2LAiTEM0zBzUz.jpg' style='height:100px;'>,Wonder Woman,Power. Grace. Wisdom. Wonder.,2017-05-30,en,7.2,141.0,149000000.0,820580447.0,5.507251322147651
<img src='http://image.tmdb.org/t/p/w185//bqLlWZJdhrS0knfEJRkquW7L8z2.jpg' style='height:100px;'>,Independence Day,Earth. Take a good look. It might be your last.,1996-06-25,en,6.7,145.0,75000000.0,816969268.0,10.892923573333332
<img src='http://image.tmdb.org/t/p/w185//gri0DDxsERr6B2sOR1fGLxLpSLx.jpg' style='height:100px;'>,Fantastic Beasts and Where to Find Them,From J.K. Rowling's wizarding world.,2016-11-16,en,7.2,133.0,180000000.0,809342332.0,4.496346288888889
<img src='http://image.tmdb.org/t/p/w185//lA17Mlz8hXVZsW5Y3WuUa8KPilQ.jpg' style='height:100px;'>,Shrek the Third,Who's ready for Thirds?,2007-05-17,en,6.0,93.0,160000000.0,798958165.0,4.99348853125
<img src='http://image.tmdb.org/t/p/w185//xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg' style='height:100px;'>,Pirates of the Caribbean: Dead Men Tell No Tales,,2017-05-23,en,6.6,129.0,230000000.0,794191988.0,3.453008643478261
<img src='http://image.tmdb.org/t/p/w185//8htLKK03TJjKZOXJgihZCu8v0P.jpg' style='height:100px;'>,E.T. the Extra-Terrestrial,He is afraid. He is alone. He is three million light years from home.,1982-04-03,en,7.3,115.0,10500000.0,792965326.0,75.52050723809523
<img src='http://image.tmdb.org/t/p/w185//jUFjMoLh8T2CWzHUSjKCojI5SHu.jpg' style='height:100px;'>,Harry Potter and the Prisoner of Azkaban,Something wicked this way comes.,2004-05-31,en,7.7,141.0,130000000.0,789804554.0,6.075419646153846
<img src='http://image.tmdb.org/t/p/w185//b9gTJKLdSbwcQRKzmqMq3dMfRwI.jpg' style='height:100px;'>,Fast & Furious 6,All roads lead to this,2013-05-06,en,6.7,130.0,160000000.0,788679850.0,4.9292490625
<img src='http://image.tmdb.org/t/p/w185//bKPtXn9n4M4s8vvZrbw40mYsefB.jpg' style='height:100px;'>,The Lion King,Life's greatest adventure is finding your place in the Circle of Life.,1994-06-23,en,8.0,89.0,45000000.0,788241776.0,17.516483911111113
<img src='http://image.tmdb.org/t/p/w185//qY1x6v5daMDTr904G3y84WVgpfC.jpg' style='height:100px;'>,Indiana Jones and the Kingdom of the Crystal Skull,The adventure continues . . .,2008-05-21,en,5.7,122.0,185000000.0,786636033.0,4.252086664864865
<img src='http://image.tmdb.org/t/p/w185//qtBFrsEQ4oXW8sKvRxkKnYuPLg.jpg' style='height:100px;'>,Spider-Man 2,There's a hero in all of us.,2004-06-25,en,6.7,127.0,200000000.0,783766341.0,3.918831705
<img src='http://image.tmdb.org/t/p/w185//inVq3FRqcYIRl2la8iZikYYxFNR.jpg' style='height:100px;'>,Deadpool,Witness the beginning of a happy ending,2016-02-09,en,7.4,108.0,58000000.0,783112979.0,13.501947913793103
<img src='http://image.tmdb.org/t/p/w185//btTdmkgIvOi0FFip1sPuZI2oQG6.jpg' style='height:100px;'>,Star Wars,"A long time ago in a galaxy far, far away...",1977-05-25,en,8.1,121.0,11000000.0,775398007.0,70.49072790909091
<img src='http://image.tmdb.org/t/p/w185//y31QB9kn3XSudA15tV7UWQ9XLuW.jpg' style='height:100px;'>,Guardians of the Galaxy,All heroes start somewhere.,2014-07-30,en,7.9,121.0,170000000.0,773328629.0,4.548991935294118
<img src='http://image.tmdb.org/t/p/w185//5tIW9nTuxxy8iXSvsKJqFDVZpyg.jpg' style='height:100px;'>,2012,We Were Warned.,2009-10-10,en,5.6,158.0,200000000.0,769653595.0,3.848267975
<img src='http://image.tmdb.org/t/p/w185//5IqaT3fza0Y9vKazjGwDGsNuuS8.jpg' style='height:100px;'>,The Da Vinci Code,Seek the truth.,2006-05-17,en,6.5,149.0,125000000.0,767820459.0,6.142563672
<img src='http://image.tmdb.org/t/p/w185//4FYu1AAu14tuBU0lns0hbKiHUcH.jpg' style='height:100px;'>,Maleficent,Don't believe the fairy tale.,2014-05-28,en,7.0,97.0,180000000.0,758539785.0,4.214109916666667
<img src='http://image.tmdb.org/t/p/w185//enqVwbUu6OX5LHq0fuk7sLT35zy.jpg' style='height:100px;'>,Shrek Forever After,It ain't Ogre... Til it's Ogre,2010-05-16,en,6.0,93.0,165000000.0,752600867.0,4.561217375757575
<img src='http://image.tmdb.org/t/p/w185//eA2D86Y6VPWuUzZyatiLBwpTilQ.jpg' style='height:100px;'>,The Amazing Spider-Man,The untold story begins.,2012-06-27,en,6.5,136.0,215000000.0,752215857.0,3.4986784046511628
<img src='http://image.tmdb.org/t/p/w185//gj282Pniaa78ZJfbaixyLXnXEDI.jpg' style='height:100px;'>,The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,2014-11-18,en,6.6,123.0,125000000.0,752100229.0,6.016801832
<img src='http://image.tmdb.org/t/p/w185//l8RKDgjl9co0IgFZblxhtIOi5Uj.jpg' style='height:100px;'>,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Evil Has Reigned For 100 Years...,2005-12-07,en,6.7,143.0,180000000.0,748806957.0,4.16003865
<img src='http://image.tmdb.org/t/p/w185//giUK8ppRbfistadVzHtpainkhq4.jpg' style='height:100px;'>,X-Men: Days of Future Past,"To save the future, they must alter the past",2014-05-15,en,7.5,131.0,250000000.0,747862775.0,2.9914511
<img src='http://image.tmdb.org/t/p/w185//wd7NcMifnuf66gD2Fm7Tzz3yJ54.jpg' style='height:100px;'>,Madagascar 3: Europe's Most Wanted,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",2012-06-06,en,6.4,93.0,145000000.0,746921274.0,5.1511812
<img src='http://image.tmdb.org/t/p/w185//e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg' style='height:100px;'>,Suicide Squad,Worst Heroes Ever,2016-08-02,en,5.9,123.0,175000000.0,745600054.0,4.2605717371428575
<img src='http://image.tmdb.org/t/p/w185//a05xQU9huY3P5uurLcGGHmsf2Vh.jpg' style='height:100px;'>,Monsters University,School never looked this scary.,2013-06-20,en,7.0,104.0,200000000.0,743559607.0,3.717798035
<img src='http://image.tmdb.org/t/p/w185//ezIurBz2fdUc68d98Fp9dRf5ihv.jpg' style='height:100px;'>,The Matrix Reloaded,Free your mind.,2003-05-15,en,6.7,138.0,150000000.0,738599701.0,4.923998006666666
<img src='http://image.tmdb.org/t/p/w185//nk11pvocdb5zbFhX5oq5YiLPYMo.jpg' style='height:100px;'>,Up,,2009-05-13,en,7.8,96.0,175000000.0,735099082.0,4.200566182857143
<img src='http://image.tmdb.org/t/p/w185//uPxtxhB2Fy9ihVqtBtNGHmknJqV.jpg' style='height:100px;'>,Gravity,Don't Let Go,2013-09-27,en,7.3,91.0,105000000.0,716392705.0,6.822787666666667
<img src='http://image.tmdb.org/t/p/w185//5TQ6YDmymBpnF005OyoB7ohZps9.jpg' style='height:100px;'>,Captain America: The Winter Soldier,In heroes we trust.,2014-03-20,en,7.6,136.0,170000000.0,714766572.0,4.204509247058824
<img src='http://image.tmdb.org/t/p/w185//p2hlGr02imEs9zeBDAkpZ4PBk6s.jpg' style='height:100px;'>,The Twilight Saga: Breaking Dawn - Part 1,Forever is just the beginning,2011-03-15,en,5.8,117.0,110000000.0,712171856.0,6.4742896
<img src='http://image.tmdb.org/t/p/w185//2EUAUIu5lHFlkj5FRryohlH6CRO.jpg' style='height:100px;'>,Dawn of the Planet of the Apes,One last chance for peace.,2014-06-26,en,7.3,130.0,170000000.0,710644566.0,4.180262152941176
<img src='http://image.tmdb.org/t/p/w185//4O6OCHVrXie2Th8asDn5utvlTwC.jpg' style='height:100px;'>,The Twilight Saga: New Moon,The Next Chapter Begins.,2009-03-15,en,5.6,130.0,50000000.0,709827462.0,14.19654924
<img src='http://image.tmdb.org/t/p/w185//bgSHbGEA1OM6qDs3Qba4VlSZsNG.jpg' style='height:100px;'>,Transformers,Their war. Our world.,2007-06-27,en,6.6,144.0,150000000.0,709709780.0,4.7313985333333335
<img src='http://image.tmdb.org/t/p/w185//mUjWof8LHDgCZC9mFp0UYKBf1Dm.jpg' style='height:100px;'>,The Amazing Spider-Man 2,No more secrets.,2014-04-16,en,6.5,142.0,200000000.0,705717432.0,3.52858716
<img src='http://image.tmdb.org/t/p/w185//fBXJGA6WNran1RL4CPKisaPI6UY.jpg' style='height:100px;'>,The Twilight Saga: Eclipse,It all begins ... With a choice.,2010-06-23,en,5.9,124.0,68000000.0,698491347.0,10.271931573529411
<img src='http://image.tmdb.org/t/p/w185//s58mMsgIVOFfoXPtwPWJ3hDYpXf.jpg' style='height:100px;'>,Mission: Impossible - Ghost Protocol,No Plan. No Backup. No Choice.,2011-12-07,en,6.8,133.0,145000000.0,694713380.0,4.79112675862069
<img src='http://image.tmdb.org/t/p/w185//iLJdwmzrHFjFwI5lvYAT1gcpRuA.jpg' style='height:100px;'>,The Hunger Games,May The Odds Be Ever In Your Favor.,2012-03-12,en,6.9,142.0,75000000.0,691210692.0,9.21614256
<img src='http://image.tmdb.org/t/p/w185//z2sJd1OvAGZLxgjBdSnQoLCfn3M.jpg' style='height:100px;'>,Mission: Impossible - Rogue Nation,Desperate Times. Desperate Measures.,2015-07-23,en,7.1,131.0,150000000.0,682330139.0,4.548867593333333
<img src='http://image.tmdb.org/t/p/w185//yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg' style='height:100px;'>,Forrest Gump,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",1994-07-06,en,8.2,142.0,55000000.0,677945399.0,12.326279981818182
<img src='http://image.tmdb.org/t/p/w185//4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg' style='height:100px;'>,Doctor Strange,Open your mind. Change your reality.,2016-10-25,en,7.1,115.0,165000000.0,677718395.0,4.107384212121212
